TITULO,FACTOR,CUARTIL,CITAS,PUBLISHER,COUNTRY,SUBJECT_AREA,ISSN,COVERAGE
Nature Reviews Drug Discovery,22.399,Q1,13091,Nature Publishing Group,United Kingdom,"MedicineMedicine (miscellaneous)Pharmacology, Toxicology and PharmaceuticsDrug DiscoveryPharmacology","14741776, 14741784",2002-2023
Nature Reviews Genetics,14.293,Q1,6211,Nature Publishing Group,United Kingdom,"Biochemistry, Genetics and Molecular BiologyGeneticsMolecular BiologyMedicineGenetics (clinical)","14710056, 14710064",2000-2023
Nature Reviews Immunology,16.009,Q1,13815,Nature Publishing Group,United Kingdom,Immunology and MicrobiologyImmunologyMedicineImmunology and AllergyMedicine (miscellaneous),"14741733, 14741741",2001-2023
Nature Reviews Materials,21.836,Q1,13775,Nature Publishing Group,United Kingdom,"EnergyEnergy (miscellaneous)Materials ScienceBiomaterialsElectronic, Optical and Magnetic MaterialsMaterials ChemistrySurfaces, Coatings and Films",20588437,2016-2023
Nature Reviews Methods Primers,12.294,Q1,4174,Springer Nature,United States,"Biochemistry, Genetics and Molecular BiologyBiochemistry, Genetics and Molecular Biology (miscellaneous)MedicineMedicine (miscellaneous)",26628449,2021-2023
Nature Reviews Molecular Cell Biology,35.91,Q1,13599,Nature Publishing Group,United Kingdom,"Biochemistry, Genetics and Molecular BiologyCell BiologyMolecular Biology","14710072, 14710080",2000-2023
New England Journal of Medicine,20.544,Q1,107246,Massachussetts Medical Society,United States,MedicineMedicine (miscellaneous),"00284793, 15334406",1945-2023
Quarterly Journal of Economics,30.448,Q1,2240,Oxford University Press,United Kingdom,"Economics, Econometrics and FinanceEconomics and Econometrics","00335533, 15314650",1886-2023
Review of Economic Studies,13.609,Q1,1699,Oxford University Press,United Kingdom,"Economics, Econometrics and FinanceEconomics and Econometrics","00346527, 1467937X","1933-1974, 1976-2023"
Review of Financial Studies,17.654,Q1,4495,Oxford University Press,United Kingdom,"Business, Management and AccountingAccountingEconomics, Econometrics and FinanceEconomics and EconometricsFinance","08939454, 14657368",1996-2023
Reviews of Modern Physics,16.061,Q1,4303,American Physical Society,United States,Physics and AstronomyPhysics and Astronomy (miscellaneous),"00346861, 15390756",1929-2023
World Psychiatry,15.827,Q1,4041,Wiley-Blackwell,United States,MedicinePsychiatry and Mental Health,17238617,2007-2023
